id,title,url
t4PweFZAqFGQKaTHg,"Embedded Analytics at JAGGAER: Foundational, Advanced and Augmented Analytics",snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/t4PweFZAqFGQKaTHg
saq84nZTCp2cJ53aG,Democratizing AI and Advanced Analytics with Dataiku x Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/saq84nZTCp2cJ53aG
6zu4CJzAodgkfSJEx,Compare Club Uses Fivetran and Snowflake to Automate Marketing Analytics,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/6zu4CJzAodgkfSJEx
3GdK5mmjP7PmpMEdy,Streamlining Data Science with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/3GdK5mmjP7PmpMEdy
4W32J5mFJHLcKD4Wz,KFC Australia’s Datalicious Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/4W32J5mFJHLcKD4Wz
7G5pfAMBFgadwof6f,Data Drivers: Snowflake's Award Winning Customers,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/7G5pfAMBFgadwof6f
PaJygzwhymjJB7BFa,Enhancing Customer Acquisition and Retention Through the Power of Snowflake Solutions,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/PaJygzwhymjJB7BFa
bHsddWRH23CoKBDAw,Building the Domino’s Pizza Enterprises Limited’s Data Lake on Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/bHsddWRH23CoKBDAw
nb63P4AGL7hsjmKDf,Zero to Trillions,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/nb63P4AGL7hsjmKDf
sLQFvjD773eTYSJqt,Grow your Career with a SnowPro Certification,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/sLQFvjD773eTYSJqt
AFtSK7FdooHWM2WLH,"Leverage the Power of Cloud to Modernize Your Data Platform, and Achieve Your Business Goals Faster",snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/AFtSK7FdooHWM2WLH
